subject_id,subject_label,predicate_id,predicate_label,object_id,object_label,add or change
Q59321722,Ultrahigh resolution far-infrared spectroscopy of methanol,P407,language of work or name,Q1860,English,added
Q62471981,Picosecond infrared spectroscopy of molecules and semiconductors,P407,language of work or name,Q1860,English,added
Q570218,Q570218,P6259,epoch,Q69307730,"November 21, 2025",added
Q62584197,Single mode operation of the p-Ge FIR laser,P407,language of work or name,Q1860,English,added
Q57549433,A resonance wobbling secondary mirror for balloon-borne IR telescopes,P407,language of work or name,Q1860,English,added
Q63245261,Interaction of electrons with the evanescent field in a free-electron device,P407,language of work or name,Q1860,English,added
Q45161540,A corner-reflector mixer mount for far infrared wavelengths,P407,language of work or name,Q1860,English,added
Q57549431,A 3-field differential photometer for far infrared anisotropy measurements,P407,language of work or name,Q1860,English,added
Q63245263,Modified Ledatron and Orotron tubes with improved sub-mm performance,P407,language of work or name,Q1860,English,added
Q57549438,A balloon borne millimetric telescope: Experimental study of the thermal gradients on the primary mirror,P407,language of work or name,Q1860,English,added
Q57925758,Far infrared absorption spectra of the anymnetric addition of NEM and EMB to egg albumen,P407,language of work or name,Q1860,English,added
Q57549439,Atmospheric transmission and noise measurements in Antarctica,P407,language of work or name,Q1860,English,added
Q57549442,Ground-based atmospheric radiometry in the far-infrared,P407,language of work or name,Q1860,English,added
Q57549441,A five-band differential IR photometer for balloon-borne observations of diffuse sky radiation,P407,language of work or name,Q1860,English,added
Q62515074,Fast optical switching and bistability in room temperature CdHgTe at 10.6 μm,P407,language of work or name,Q1860,English,added
Q58227509,Upconversion of IR radiation into the visible and UV ranges,P407,language of work or name,Q1860,English,added
Q122198237,Birthday announcement,P407,language of work or name,Q1860,English,added
Q22127941,Q22127941,P31,instance of,Q7889,video game,added
Q57925753,FIR properties of glycoprotein mucose,P407,language of work or name,Q1860,English,added
Q57549452,Stratospheric fluctuations in the FIR,P407,language of work or name,Q1860,English,added
Q59823640,The Queen Mary College/University of Oregon photometer for submillimetre continuum observations,P407,language of work or name,Q1860,English,added
Q57549456,FIR observations of stratospheric irregularities and fluctuations,P407,language of work or name,Q1860,English,added
Q57549458,Non-polarizing far-infrared filters,P407,language of work or name,Q1860,English,added
Q57549464,Polarization properties of Fluorogold∗ in the far-infrared,P407,language of work or name,Q1860,English,added
Q60663230,Versatile optics for i.r. BLIP detectors,P407,language of work or name,Q1860,English,added
Q59823677,Free-standing grids wound from 5 μm diameter wire for spectroscopy at far-infrared wavelengths,P407,language of work or name,Q1860,English,added
Q59823681,Absolute measurements of the atmospheric transparency at short millimetre wavelengths,P407,language of work or name,Q1860,English,added
Q59823684,Submillimetre multicolour photometry of astronomical sources,P407,language of work or name,Q1860,English,added
Q59823682,Far-infrared composite bolometers using surface ION implanted Ge as an absorbing surface,P407,language of work or name,Q1860,English,added
Q114685321,Planar Pb0.8Sn0.2Te photodiode array development at the night vision laboratory,P407,language of work or name,Q1860,English,added
Q59823730,The high resolution millimetre wavelength spectrum of the atmosphere,P407,language of work or name,Q1860,English,added
Q59823742,Reflection and absorption coefficient of melinex at 338μ,P407,language of work or name,Q1860,English,added
Q56525403,The determination of refractive index spectra by fourier spectrometry,P407,language of work or name,Q1860,English,added
Q47714088,Auto anti-hr' in the absence of anemia,P407,language of work or name,Q1860,English,added
Q126737375,2025 Gree-Tour of Guangxi,P710,participant,Q3162848,Jasha Sütterlin,added
Q115142804,"Security, accuracy and privacy in computer systems",P407,language of work or name,Q1860,English,added
Q22127941,Q22127941,P179,part of the series,Q846727,Air Traffic Controller,added
Q135678502,Angela Harding,P734,family name,Q16870507,Harding,added
Q67016234,A method for the automatic classification of chemical structures,P407,language of work or name,Q1860,English,added
Q136467968,Marina Boldova,P551,residence,Q4111453,Q4111453,added
Q54296744,Index term weighting,P407,language of work or name,Q1860,English,added
Q56049825,The use of hierarchic clustering in information retrieval,P407,language of work or name,Q1860,English,added
Q56680973,Towards an effective on-line reference retrieval system,P407,language of work or name,Q1860,English,added
Q57568940,An indirect method of information retrieval,P407,language of work or name,Q1860,English,added
Q57568939,A searching procedure for information retrieval,P407,language of work or name,Q1860,English,added
Q122904945,A cluster of algorithms relating the nomenclature of organic compounds to their structure matrices and ciphers,P407,language of work or name,Q1860,English,added
Q60546774,Bibliographic coupling extended in time: Ten case histories,P407,language of work or name,Q1860,English,added
Q5708511,President of Peru,P1308,position holder,Q107480088,José Jerí,added
Q59552472,Experimenting with pattern-matching algorithms,P407,language of work or name,Q1860,English,added
Q57518802,A probabilistic spatial data model,P407,language of work or name,Q1860,English,added
Q57526138,Automatic entity extraction from an N-Ary relation: Toward a general law for information decomposition,P407,language of work or name,Q1860,English,added
Q33533835,"28, Długa Street in Warsaw",P669,located on street,Q9364924,Barokowa Street,added
Q58197983,PRACTIC: A concurrent object data model for a parallel object-oriented database system,P407,language of work or name,Q1860,English,added
Q57526141,Signature extraction method in rectangular database,P407,language of work or name,Q1860,English,added
Q113444239,A robust method for understanding NL interface commands in the ICI Intelligent Command Interpreter,P407,language of work or name,Q1860,English,added
Q114016574,A fuzzy R1 separation axiom,P407,language of work or name,Q1860,English,added
Q114685322,Revealing logical dependencies in fuzzy data with the aid of multilevel fuzzy relational equations,P407,language of work or name,Q1860,English,added
Q136467974,Q136467974,P31,instance of,Q1620824,nuclear accident,added
Q114685324,Constraints on fuzzy values and fuzzy functional dependencies,P407,language of work or name,Q1860,English,added
Q57925749,A simple construction of a digital convex n-gon with almost minimal diameter,P407,language of work or name,Q1860,English,added
Q60328196,Constrained tree editing,P407,language of work or name,Q1860,English,added
Q57699712,HYPERSOLVER: A graphical tool for commonsense set theory,P407,language of work or name,Q1860,English,added
Q60328168,"String alignment with substitution, insertion, deletion, squashing, and expansion operations",P407,language of work or name,Q1860,English,added
Q122917489,Major issues on process software engineering environments,P407,language of work or name,Q1860,English,added
Q135678502,Angela Harding,P19,place of birth,Q134902,Stoke-on-Trent,added
Q114685325,Active interdatabase dependencies,P407,language of work or name,Q1860,English,added
Q114462260,The Vanishing Stingray,P921,main subject,Q3754371,Eyed Flounder,added
Q569967,Q569967,P6259,epoch,Q69307730,"November 21, 2025",added
Q125020224,A Pumping lemma and the structure of derivations in the boundary NLC graph languages,P407,language of work or name,Q1860,English,added
Q7524554,Sinkat,P131,located in the administrative territorial entity,Q33638075,Sinkat District,added
Q114953811,Supervised learning based on “neurons” sensitive to similarities and dissimilarities in the stimulus features,P407,language of work or name,Q1860,English,added
Q56675404,Generative learning structures and processes for generalized connectionist networks,P407,language of work or name,Q1860,English,added
Q56863602,On explicit expressions in additive cellular automata theory,P407,language of work or name,Q1860,English,added
Q60328251,On the problem of multiple mobile robots cluttering a workspace,P407,language of work or name,Q1860,English,added
Q136365501,Stolperstein dedicated to Alfred Simon,P1889,different from,Q132854375,Stolperstein dedicated to Alfred Simon,added
Q114685326,Unifying functional and multivalued dependencies for relational database design,P407,language of work or name,Q1860,English,added
Q35854930,Case-only exome sequencing and complex disease susceptibility gene discovery: study design considerations,P921,main subject,Q1438035,research design,added
Q35854930,Case-only exome sequencing and complex disease susceptibility gene discovery: study design considerations,P921,main subject,Q210506,molecular genetics,added
Q35854930,Case-only exome sequencing and complex disease susceptibility gene discovery: study design considerations,P921,main subject,Q5532897,genetic epidemiology,added
Q35854930,Case-only exome sequencing and complex disease susceptibility gene discovery: study design considerations,P921,main subject,Q55608248,complex trait,added
Q35854930,Case-only exome sequencing and complex disease susceptibility gene discovery: study design considerations,P921,main subject,Q7162,genetics,added
Q114685327,Functional dependencies and normal forms in the fuzzy relational database model,P407,language of work or name,Q1860,English,added
Q33533835,"28, Długa Street in Warsaw",P669,located on street,Q9365107,Długa Street,added
Q114462260,The Vanishing Stingray,P921,main subject,Q469958,southern stingray,added
Q56992476,Distributed associative memory and the computation of membership functions,P407,language of work or name,Q1860,English,added
Q56269113,The relative useful information measure: Some comments,P407,language of work or name,Q1860,English,added
Q114685328,Join dependencies in relational-database design,P407,language of work or name,Q1860,English,added
Q72373361,LINF_040017100,P684,ortholog,Q62133890,LmxM.04.1190,added
Q135678502,Angela Harding,P735,given name,Q4851436,Angela,added
Q22127166,Q22127166,P17,country,Q869,Thailand,added
Q97574931,Stolperstein dedicated to Alfred Simon,P1889,different from,Q132854375,Stolperstein dedicated to Alfred Simon,added
Q55835167,PayFit,P452,industry,Q1254596,software as a service,added
Q136467968,Marina Boldova,P27,country of citizenship,Q159,Russia,added
Q60468486,Finite axiomatization of languages for representation of system properties: Axiomatization of dependencies,P407,language of work or name,Q1860,English,added
Q135678502,Angela Harding,P27,country of citizenship,Q145,United Kingdom,added
Q568854,Q568854,P6259,epoch,Q69307730,"November 21, 2025",added
Q114685329,"Relations, dependencies and some problems of systems theory",P407,language of work or name,Q1860,English,added
Q121088978,Shannon's random-cipher result and the R-norm information,P407,language of work or name,Q1860,English,added
Q136467902,Koos Scholtens,P19,place of birth,Q2235855,Aarlanderveen,added
Q60328382,Multiaction learning automata possessing ergodicity of the mean,P407,language of work or name,Q1860,English,added
Q122932159,A homomorphic characterization of principal semiAFLs without using intersection with regular sets,P407,language of work or name,Q1860,English,added
Q123199862,An Inverse Homomorphic Characterization of Full Principal AFL,P407,language of work or name,Q1860,English,added
Q118592645,A classification procedure using the multiple Fourier series,P407,language of work or name,Q1860,English,added
Q60328427,An effective algorithm for string correction using generalized edit distance—II. Computational complexity of the algorithm and some applications,P407,language of work or name,Q1860,English,added
Q60328425,An effective algorithm for string correction using generalized edit distances—I. Description of the algorithm and its optimality,P407,language of work or name,Q1860,English,added
Q122981488,On nonstochastic languages and homomorphic images of stochastic languages,P407,language of work or name,Q1860,English,added
Q60449042,Quasinatural language in consultation systems,P407,language of work or name,Q1860,English,added
Q56157603,Note on fuzzy languages,P407,language of work or name,Q1860,English,added
Q56093926,On the generative power of transformational grammars,P407,language of work or name,Q1860,English,added
Q114685330,A note on the Axioms of Restriction and Fundierung,P407,language of work or name,Q1860,English,added
Q57518801,Algorithms for parsimonious complete sets in directed graphs,P407,language of work or name,Q1860,English,added
Q59446632,Output-sensitive peeling of convex and maximal layers,P407,language of work or name,Q1860,English,added
Q135678502,Angela Harding,P106,occupation,Q1028181,painter,added
Q57387867,Scheduling complete intrees on two uniform processors with communication delays,P407,language of work or name,Q1860,English,added
Q11713220,"Institute of Art, Polish Academy of Sciences",P276,location,Q33533835,"28, Długa Street in Warsaw",added
Q56474996,Fixed-parameter tractability of graph modification problems for hereditary properties,P407,language of work or name,Q1860,English,added
Q5708511,President of Peru,P1308,position holder,Q103838608,Pedro Castillo,added
Q5708511,President of Peru,P1308,position holder,Q20015136,Francisco Sagasti,added
Q5708511,President of Peru,P1308,position holder,Q24030720,Martín Vizcarra,added
Q5708511,President of Peru,P1308,position holder,Q5993760,Manuel Merino,added
Q62398509,A note on PCP vs. MIP,P407,language of work or name,Q1860,English,added
Q62042637,Drawing outerplanar minimum weight triangulations,P407,language of work or name,Q1860,English,added
Q57360096,A simple linear-time algorithm for finding path-decompositions of small width,P407,language of work or name,Q1860,English,added
Q59610793,A parallel algorithm for static program slicing,P407,language of work or name,Q1860,English,added
Q56214718,On representation and querying incomplete information in databases with bags,P407,language of work or name,Q1860,English,added
Q114462260,The Vanishing Stingray,P674,characters,Q135402001,Click,added
Q58209372,A McCulloch-Pitts neural net to characterize even linear languages,P407,language of work or name,Q1860,English,added
Q61677536,A remark on middle space bounded alternating Turing machines,P407,language of work or name,Q1860,English,added
Q55980164,An attack on the Needham-Schroeder public-key authentication protocol,P407,language of work or name,Q1860,English,added
Q59538632,Efficient learning with equivalence queries of conjunctions of modulo functions,P407,language of work or name,Q1860,English,added
Q30047341,A note on the Horton-Strahler number for random trees,P407,language of work or name,Q1860,English,added
Q57401568,Balanced allocations for tree-like inputs,P407,language of work or name,Q1860,English,added
Q56324060,The worst-case running time of the random simplex algorithm is exponential in the height,P407,language of work or name,Q1860,English,added
Q29011645,A short note on the approximability of the maximum leaves spanning tree problem,P407,language of work or name,Q1860,English,added
Q114685331,Password authentication without using a password table,P407,language of work or name,Q1860,English,added
Q60512317,Size-depth tradeoffs for Boolean formulae,P407,language of work or name,Q1860,English,added
Q57387884,Scheduling multiprocessor tasks of three dedicated processors information processing letters 41 (5) (1992) 275–280,P407,language of work or name,Q1860,English,added
Q19693384,Jozefa,P1552,has characteristic,Q89410507,name without diacritical marks,added
Q114462260,The Vanishing Stingray,P674,characters,Q135402209,Whistle,added
Q114215565,Computing values of a polynomial with only few multiplications,P407,language of work or name,Q1860,English,added
Q57310094,On finding the strongly connected components in a directed graph,P407,language of work or name,Q1860,English,added
Q56959109,On average time hierarchies,P407,language of work or name,Q1860,English,added
Q57401584,On the problem of approximating the number of bases of a matriod,P407,language of work or name,Q1860,English,added
Q29036205,Serializability by commitment ordering,P407,language of work or name,Q1860,English,added
Q62654282,Using Hirschberg's algorithm to generate random alignments of strings,P407,language of work or name,Q1860,English,added
Q58064552,Undecidability of ground reducibility for word rewriting systems with variables,P407,language of work or name,Q1860,English,added
Q61687092,On collapsing the polynomial-time hierarchy,P407,language of work or name,Q1860,English,added
Q126322776,Haskell overloading is DEXPTIME-complete,P407,language of work or name,Q1860,English,added
Q115927015,Good and semi-strong colorings of oriented planar graphs,P407,language of work or name,Q1860,English,added
Q59650035,Approximations for the maximum acyclic subgraph problem,P407,language of work or name,Q1860,English,added
Q56083439,Counting trees in a graph is #P-complete,P407,language of work or name,Q1860,English,added
Q61677537,An optimal lower bound for nonregular languages,P407,language of work or name,Q1860,English,added
Q62037506,Uniform generation of forests of restricted height,P407,language of work or name,Q1860,English,added
Q114685332,An algorithm for approximate membership checking with application to password security,P407,language of work or name,Q1860,English,added
Q56269092,A still better performance guarantee for approximate graph coloring,P407,language of work or name,Q1860,English,added
Q114462260,The Vanishing Stingray,P674,characters,Q135402347,Smiley (stingray),added
Q122871253,A note on a conjecture concerning symmetric resilient functions,P407,language of work or name,Q1860,English,added
Q56607630,Optimal slope selection via expanders,P407,language of work or name,Q1860,English,added
Q57834864,The generic oracle hypothesis is false,P407,language of work or name,Q1860,English,added
Q124873174,A proof of the substitution lemma in de Bruijn's notation,P407,language of work or name,Q1860,English,added
Q62045990,Parametrized recurrent systems for image generation,P407,language of work or name,Q1860,English,added
Q122186766,On injectivity of deterministic top–down tree transducers,P407,language of work or name,Q1860,English,added
Q114685333,Models for the substitution axiom of UNITY logic,P407,language of work or name,Q1860,English,added
Q121357388,A description of dynamic behavior for compilers based on object oriented modeling,P407,language of work or name,Q1860,English,added
Q57531242,A string-matching algorithm for the CREW PRAM,P407,language of work or name,Q1860,English,added
Q59650036,A fast and effective heuristic for the feedback arc set problem,P407,language of work or name,Q1860,English,added
Q56959141,A well-characterized approximation problem,P407,language of work or name,Q1860,English,added
Q5686400,Q5686400,P6259,epoch,Q69307730,"November 21, 2025",added
Q57387898,Preemptive scheduling of multiprocessor tasks on the dedicated processor system subject to minimal lateness,P407,language of work or name,Q1860,English,added
Q56287381,Fault tolerant routing in the star and pancake interconnection networks,P407,language of work or name,Q1860,English,added
Q126298514,A recursive ascent Earley parser,P407,language of work or name,Q1860,English,added
Q56390611,The greedy algorithm is optimal for on-line edge coloring,P407,language of work or name,Q1860,English,added
Q62654289,Lazy dynamic-programming can be eager,P407,language of work or name,Q1860,English,added
Q56210414,A simple lower bound for monotone clique using a communication game,P407,language of work or name,Q1860,English,added
Q58329983,A simple proof of a completeness result for leads-to in the UNITY logic,P407,language of work or name,Q1860,English,added
Q62037511,Generating binary trees at random,P407,language of work or name,Q1860,English,added
Q135649543,Nikos Xydakis,P641,sport,Q1734,volleyball,added
Q58329985,"A simple proof of a completeness result for leads-to, in the UNITY logic",P407,language of work or name,Q1860,English,added
Q57711688,A truncation technique for clausal analytic tableaux,P407,language of work or name,Q1860,English,added
Q114685334,Ensuring the existence of a BCNF- decomposition that preserves functional dependencies in O(N2) time,P407,language of work or name,Q1860,English,added
Q114685335,Complete sets of axioms for finite basic LOTOS behavioural equivalences,P407,language of work or name,Q1860,English,added
Q57255181,Maximum bounded 3-dimensional matching is MAX SNP-complete,P407,language of work or name,Q1860,English,added
Q57925746,"On the number of linear partitions of the (m, n)-grid",P407,language of work or name,Q1860,English,added
Q126322022,On matroids and hierarchial graphs,P407,language of work or name,Q1860,English,added
Q33533835,"28, Długa Street in Warsaw",P466,occupant,Q11713220,"Institute of Art, Polish Academy of Sciences",added
Q124989026,On learning from queries and counterexamples in the presence of noise,P407,language of work or name,Q1860,English,added
Q62654291,Shortest path and closure algorithms for banded matrices,P407,language of work or name,Q1860,English,added
Q56626048,Computing a maximum cardinality matching in a bipartite graph in time O(n1.5),P407,language of work or name,Q1860,English,added
Q60299190,An extension of Khrapchenko's theorem,P407,language of work or name,Q1860,English,added
Q56607631,Randomized optimal algorithm for slope selection,P407,language of work or name,Q1860,English,added
Q57256235,Some observations on skip-lists,P407,language of work or name,Q1860,English,added
Q34446365,"Safety and Immunogenicity of an Adjuvanted Herpes Zoster Subunit Candidate Vaccine in HIV-Infected Adults: A Phase 1/2a Randomized, Placebo-Controlled Study",P50,author,Q63936952,Elchonon M Berkowitz,added
Q34446365,"Safety and Immunogenicity of an Adjuvanted Herpes Zoster Subunit Candidate Vaccine in HIV-Infected Adults: A Phase 1/2a Randomized, Placebo-Controlled Study",P50,author,Q97887824,Dirk Schürmann,added
Q34446365,"Safety and Immunogenicity of an Adjuvanted Herpes Zoster Subunit Candidate Vaccine in HIV-Infected Adults: A Phase 1/2a Randomized, Placebo-Controlled Study",P921,main subject,Q8074572,herpes zoster vaccine,added
Q22117701,I Tower,P17,country,Q17,Japan,added
Q12019307,Q12019307,P527,has part(s),Q136467970,The accident of the Jaslovské Bohunice A1 power plant in 1976,added
Q59405863,Linear time algorithms on circular-arc graphs,P407,language of work or name,Q1860,English,added
Q129206357,Investigation of Irreversible Reference Tissue Models for Parametric Imaging,P50,author,Q52983347,Adriaan A Lammertsma,added
Q57904598,Deferred data structure for the nearest neighbor problem,P407,language of work or name,Q1860,English,added
Q61609666,A note on set union with arbitrary deunions,P407,language of work or name,Q1860,English,added
Q53674253,Myocardial perfusion in 3 dimensions.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q36495076,Consensus recommendations for the use of 18F-FDG PET as an indicator of therapeutic response in patients in National Cancer Institute Trials.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q59845204,Imaging of neuroinflammation: TSPO and beyond,P50,author,Q52983347,Adriaan A Lammertsma,added
Q114462260,The Vanishing Stingray,P674,characters,Q134963559,Zach Varmitech,added
Q91048713,Quantification of PET Studies,P50,author,Q52983347,Adriaan A Lammertsma,added
Q136467971,Turbulence,P175,performer,Q3271844,Emilia,added
Q126298024,Lower bounds for planar orthogonal drawings of graphs,P407,language of work or name,Q1860,English,added
Q104134769,On the Origin of Hybrid Imaging,P50,author,Q52983347,Adriaan A Lammertsma,added
Q55968889,A simple algorithm for computing the smallest enclosing circle,P407,language of work or name,Q1860,English,added
Q124820941,A counterexample for the sufficiency of edge guards in star polygons,P407,language of work or name,Q1860,English,added
Q126737375,2025 Gree-Tour of Guangxi,P710,participant,Q28858866,Campbell Stewart,added
Q57621013,DIAGNOSTIC VALUE OF TRANSLUMINAL ATTENUATION GRADIENT FOR THE PRESENCE OF ISCHEMIA AS DEFINED BY FRACTIONAL FLOW RESERVE AND QUANTITATIVE POSITRON EMISSION TOMOGRAPHY,P50,author,Q52983347,Adriaan A Lammertsma,added
Q57621019,IMPACT OF REVASCULARIZATION ON ABSOLUTE MYOCARDIAL BLOOD FLOW AS ASSESSED BY SERIAL [15O]H2O PET IMAGING: A COMPARISON WITH FRACTIONAL FLOW RESERVE,P50,author,Q52983347,Adriaan A Lammertsma,added
Q136467968,Marina Boldova,P735,given name,Q106654516,Marina,added
Q57620989,Impact of Revascularization on Absolute Myocardial Blood Flow as Assessed by Serial [ 15 O]H 2 O Positron Emission Tomography Imaging,P50,author,Q52983347,Adriaan A Lammertsma,added
Q91429963,Diagnostic value of longitudinal flow gradient for the presence of haemodynamically significant coronary artery disease,P50,author,Q52983347,Adriaan A Lammertsma,added
Q91566764,Myocardial Blood Flow and Coronary Flow Reserve During 3 Years Following Bioresorbable Vascular Scaffold Versus Metallic Drug-Eluting Stent Implantation: The VANISH Trial,P50,author,Q52983347,Adriaan A Lammertsma,added
Q90779337,Impact of individualized segmentation on diagnostic performance of quantitative positron emission tomography for haemodynamically significant coronary artery disease,P50,author,Q52983347,Adriaan A Lammertsma,added
Q136467970,The accident of the Jaslovské Bohunice A1 power plant in 1976,P361,part of,Q12019307,Q12019307,added
Q92153892,Adenosine single-photon emission computed tomography-derived transient ischemic dilatation and ejection fraction reserve fail to predict multivessel coronary artery disease,P50,author,Q52983347,Adriaan A Lammertsma,added
Q92051672,Continuous thermodilution to assess absolute flow and microvascular resistance: validation in humans using [15O]H2O positron emission tomography,P50,author,Q52983347,Adriaan A Lammertsma,added
Q132854375,Stolperstein dedicated to Alfred Simon,P1889,different from,Q130544068,Stolperstein dedicated to Alfred Simon,added
Q90761387,Prognostic value of [15O]H2O positron emission tomography-derived global and regional myocardial perfusion,P50,author,Q52983347,Adriaan A Lammertsma,added
Q91856655,Comparison between quantitative cardiac magnetic resonance perfusion imaging and [15O]H2O positron emission tomography,P50,author,Q52983347,Adriaan A Lammertsma,added
Q99595627,"Incremental prognostic value of hybrid [15O]H2O positron emission tomography-computed tomography: combining myocardial blood flow, coronary stenosis severity, and high-risk plaque morphology",P50,author,Q52983347,Adriaan A Lammertsma,added
Q5686250,Q5686250,P6259,epoch,Q69307730,"November 21, 2025",added
Q44061899,Measurement of perfusion in stage IIIA-N2 non-small cell lung cancer using H(2)(15)O and positron emission tomography.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q40628399,Methods to monitor response to chemotherapy in non-small cell lung cancer with 18F-FDG PET.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q39127203,Quantitative 89Zr immuno-PET for in vivo scouting of 90Y-labeled monoclonal antibodies in xenograft-bearing nude mice,P50,author,Q52983347,Adriaan A Lammertsma,added
Q44681205,Measurement of 18F-FDG concentrations in blood samples: comparison of direct calibration and standard solution methods,P50,author,Q52983347,Adriaan A Lammertsma,added
Q44762703,Postinjection transmission scanning in myocardial 18F-FDG PET studies using both filtered backprojection and iterative reconstruction.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q44780598,Validation of a multiwell gamma-counter for measuring high-pressure liquid chromatography metabolite profiles.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q35753798,Measuring response to chemotherapy in locally advanced breast cancer: methodological considerations,P50,author,Q52983347,Adriaan A Lammertsma,added
Q34345807,"Effects of noise, image resolution, and ROI definition on the accuracy of standard uptake values: a simulation study",P50,author,Q52983347,Adriaan A Lammertsma,added
Q57724366,A distributed join algorithm,P407,language of work or name,Q1860,English,added
Q136467970,The accident of the Jaslovské Bohunice A1 power plant in 1976,P276,location,Q13419743,Bohunice A1 Nuclear Power Plant,added
Q97574931,Stolperstein dedicated to Alfred Simon,P1889,different from,Q130544068,Stolperstein dedicated to Alfred Simon,added
Q30051916,A simple randomized parallel algorithm for list-ranking,P407,language of work or name,Q1860,English,added
Q56430039,A guided tour of chernoff bounds,P407,language of work or name,Q1860,English,added
Q124799395,A generalization of chvátal's star-cutset lemma,P407,language of work or name,Q1860,English,added
Q30991434,Delayed contrast enhancement and perfusable tissue index in hypertrophic cardiomyopathy: comparison between cardiac MRI and PET.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q59568052,Bit-optimal election in synchronous rings,P407,language of work or name,Q1860,English,added
Q55393320,A note on division orderings on strings,P407,language of work or name,Q1860,English,added
Q42183322,Reproducible Analysis of Rat Brain PET Studies Using an Additional [18F]NaF Scan and an MR-Based ROI Template,P50,author,Q52983347,Adriaan A Lammertsma,added
Q123272515,Counterexample to a conjecture of szymanski on hypercube routing,P407,language of work or name,Q1860,English,added
Q120379607,EFFECT OF CARDIAC HYBRID 150-WATER PET/CT IMAGING UPON DOWNSTREAM REFERRAL FOR INVASIVE CORONARY ANGIOGRAPHY AND REVASCULARIZATION RATE,P50,author,Q52983347,Adriaan A Lammertsma,added
Q114685336,An axiom system for database transactions,P407,language of work or name,Q1860,English,added
Q126737375,2025 Gree-Tour of Guangxi,P710,participant,Q29364265,Kelland O'Brien,added
Q51992324,Perfusable tissue index as a potential marker of fibrosis in patients with idiopathic dilated cardiomyopathy,P50,author,Q52983347,Adriaan A Lammertsma,added
Q45178285,Quantitative comparison of analytic and iterative reconstruction methods in 2- and 3-dimensional dynamic cardiac 18F-FDG PET.,P50,author,Q52983347,Adriaan A Lammertsma,added
Q29300501,A linear-time algorithm for concave one-dimensional dynamic programming,P407,language of work or name,Q1860,English,added
Q56390758,Achromatic number is NP-complete for cographs and interval graphs,P407,language of work or name,Q1860,English,added
Q57757530,18th European Symposium on Radiopharmacy and Radiopharmaceuticals,P50,author,Q52983347,Adriaan A Lammertsma,added
Q59259782,Magic semi-joins,P407,language of work or name,Q1860,English,added
